_id,issue_type,priority,components
58bfd2910ccb2667fe27534f,Bug,Major,['jmx']
58bfd2a00ccb2667fe2754c7,Bug,Major,['tests']
58bfd2a70ccb2667fe27560f,Improvement,Major,['security']
58bfd2b10ccb2667fe275770,Bug,Blocker,['tests']
58bfd2bb0ccb2667fe2758e1,Bug,Major,['quorum']
58bfd2c40ccb2667fe2759eb,Bug,Major,['c client']
58bfd2cc0ccb2667fe275ab9,Improvement,Minor,['server']
58bfd2d10ccb2667fe275b8b,New Feature,Minor,['java client']
58bfd2dc0ccb2667fe275cbe,Bug,Major,['server']
58bfd2e10ccb2667fe275d5f,Bug,Blocker,"['build', 'documentation']"
58bfd2e60ccb2667fe275d8b,Bug,Minor,['server']
58bfd2ec0ccb2667fe275dfb,Improvement,Major,['server']
58bfd2ee0ccb2667fe275e22,Bug,Major,['security']
58bfd2f40ccb2667fe275e80,Bug,Major,['server']
58bfd2fb0ccb2667fe275fae,Bug,Critical,"['leaderElection', 'quorum', 'server']"
58bfd3010ccb2667fe27601f,Bug,Major,['server']
58bfd3100ccb2667fe2761ac,Bug,Blocker,['server']
58bfd3180ccb2667fe27622f,Bug,Minor,['server']
58bfd3240ccb2667fe276359,Bug,Major,[]
58bfd32b0ccb2667fe2763bc,Bug,Major,['server']
58bfd3310ccb2667fe2763d7,Bug,Minor,['server']
58bfd3380ccb2667fe276453,Improvement,Minor,['leaderElection']
58bfd33d0ccb2667fe2764d3,Bug,Major,[]
58bfd3420ccb2667fe2764fa,Test,Major,['tests']
58bfcac50ccb2667fe26a0de,Bug,Major,['java client']
58bfcac70ccb2667fe26a11c,Bug,Major,['java client']
58bfcaca0ccb2667fe26a166,Task,Major,[]
58bfcacd0ccb2667fe26a1ad,Bug,Major,['jmx']
58bfcacf0ccb2667fe26a1fd,New Feature,Major,['documentation']
58bfcad40ccb2667fe26a286,Sub-task,Major,[]
58bfcad50ccb2667fe26a290,Sub-task,Major,[]
58bfcb030ccb2667fe26a5f3,Improvement,Major,"['java client', 'c client', 'server']"
58bfcb400ccb2667fe26aa90,Improvement,Major,['contrib-bookkeeper']
58bfcb410ccb2667fe26aa9e,Bug,Minor,[]
58bfcb4c0ccb2667fe26abb0,Improvement,Major,['server']
58bfcb850ccb2667fe26afa0,Bug,Major,['leaderElection']
58bfcb860ccb2667fe26afb5,Bug,Blocker,['c client']
58bfcb8a0ccb2667fe26b02d,Bug,Major,['contrib-bookkeeper']
58bfcb8d0ccb2667fe26b065,New Feature,Major,[]
58bfcb8e0ccb2667fe26b095,Bug,Critical,[]
58bfcb900ccb2667fe26b0b8,Improvement,Minor,['c client']
58bfcb910ccb2667fe26b0c6,Bug,Major,[]
58bfcb920ccb2667fe26b0d3,Improvement,Minor,['java client']
58bfcb950ccb2667fe26b126,Bug,Minor,"['build', 'c client']"
58bfcb950ccb2667fe26b135,Improvement,Trivial,['documentation']
58bfcb980ccb2667fe26b164,Bug,Blocker,[]
58bfcb990ccb2667fe26b189,Bug,Major,['contrib-bookkeeper']
58bfcb9b0ccb2667fe26b1a7,Sub-task,Major,[]
58bfcb9c0ccb2667fe26b1b5,Sub-task,Major,[]
58bfcba00ccb2667fe26b205,Improvement,Major,"['java client', 'server']"
58bfcba00ccb2667fe26b218,Bug,Major,[]
58bfcba30ccb2667fe26b245,Bug,Blocker,"['java client', 'c client']"
58bfcba40ccb2667fe26b259,Bug,Major,[]
58bfcba60ccb2667fe26b280,Bug,Minor,['contrib-bindings']
58bfcba70ccb2667fe26b28f,Improvement,Major,[]
58bfca910ccb2667fe269dd1,New Feature,Major,['server']
58bfca9d0ccb2667fe269e4f,Improvement,Major,['tests']
58bfca9e0ccb2667fe269e50,New Feature,Major,['server']
58bfca9f0ccb2667fe269e58,Bug,Major,['server']
58bfcaa00ccb2667fe269e5f,Bug,Major,"['java client', 'c client', 'server']"
58bfcaa20ccb2667fe269e77,Bug,Major,['leaderElection']
58bfcaa30ccb2667fe269ea0,Improvement,Minor,['server']
58bfcaa40ccb2667fe269ea2,Bug,Major,['documentation']
58bfcaa40ccb2667fe269ea5,Sub-task,Major,['documentation']
58bfcaa50ccb2667fe269ea8,Sub-task,Major,['documentation']
58bfcaa70ccb2667fe269ead,Sub-task,Major,['documentation']
58bfcaa80ccb2667fe269eae,Sub-task,Major,['documentation']
58bfcaac0ccb2667fe269ecf,Bug,Major,['build']
58bfcaad0ccb2667fe269ed5,Bug,Major,['java client']
58bfcaae0ccb2667fe269ee9,New Feature,Major,['server']
58bfcaaf0ccb2667fe269ef4,Bug,Major,"['c client', 'documentation']"
58bfcab40ccb2667fe269f83,Bug,Major,['java client']
58bfcab40ccb2667fe269f90,Bug,Major,"['java client', 'c client', 'server']"
58bfcac50ccb2667fe26a0dc,Bug,Major,['java client']
58bfcacc0ccb2667fe26a182,Bug,Major,['build']
58bfcace0ccb2667fe26a1d4,Bug,Major,['server']
58bfcad10ccb2667fe26a24d,Improvement,Trivial,['java client']
58bfcad20ccb2667fe26a25a,Bug,Major,['quorum']
58bfcad40ccb2667fe26a274,Bug,Minor,['java client']
58bfcad60ccb2667fe26a298,Improvement,Major,['java client']
58bfcad70ccb2667fe26a2a8,Bug,Major,['c client']
