issue_id,created_at_x,new_value_x,created_at_y,new_value_y
58bfcf3d0ccb2667fe270184,2014-03-13 18:16:53.798,Closed,2014-01-20 11:21:50.386,Open
58bfcf3d0ccb2667fe270184,2014-03-13 18:16:53.798,Closed,2014-01-12 17:52:34.220,Open
58bfcf430ccb2667fe270243,2014-03-13 18:16:54.937,Closed,2013-09-08 17:11:29.418,Open
58bfcf430ccb2667fe270243,2014-03-13 18:16:54.937,Closed,2013-09-09 05:24:23.101,Open
58bfcf4c0ccb2667fe270399,2014-03-13 18:16:55.536,Closed,2010-11-10 01:37:55.642,Open
58bfcf500ccb2667fe2703f4,2014-03-13 18:16:56.681,Closed,2013-12-15 10:36:32.314,Open
58bfcf500ccb2667fe2703f3,2014-03-13 18:17:01.127,Closed,2013-12-23 20:15:57.482,Open
58bfcf500ccb2667fe2703f3,2014-03-13 18:17:01.127,Closed,2013-12-24 04:56:51.304,Open
58bfcf710ccb2667fe27095c,2014-03-13 18:17:05.939,Closed,2013-12-10 22:57:38.960,Open
58bfcf710ccb2667fe27095c,2014-03-13 18:17:05.939,Closed,2013-12-11 00:12:11.936,Open
58bfcf390ccb2667fe2700ee,2014-03-13 18:16:52.935,Closed,2012-12-07 21:30:59.911,Open
58bfcf390ccb2667fe2700ee,2014-03-13 18:16:52.935,Closed,2012-12-07 18:40:12.413,Open
58bfcf390ccb2667fe2700ee,2014-03-13 18:16:52.935,Closed,2012-12-07 20:29:42.488,Open
58bfcf390ccb2667fe2700ee,2014-03-13 18:16:52.935,Closed,2012-12-07 18:57:27.666,Open
58bfcf3f0ccb2667fe2701d2,2014-03-13 18:16:53.264,Closed,2014-01-15 09:22:08.688,Open
58bfcf3f0ccb2667fe2701d2,2014-03-13 18:16:53.264,Closed,2014-01-15 15:36:08.949,Open
58bfcf3f0ccb2667fe2701d2,2014-03-13 18:16:53.264,Closed,2014-01-13 17:15:32.804,Open
58bfcf3f0ccb2667fe2701d2,2014-03-13 18:16:53.264,Closed,2014-01-15 09:50:02.269,Open
58bfcf3f0ccb2667fe2701d2,2014-03-13 18:16:53.264,Closed,2013-12-14 06:44:21.395,Open
58bfcf480ccb2667fe2702ff,2014-03-13 18:16:55.090,Closed,2013-10-07 23:42:30.616,Open
58bfcf540ccb2667fe270492,2014-03-13 18:16:57.427,Closed,2012-08-30 04:59:11.424,Open
58bfcf510ccb2667fe27040c,2014-03-13 18:16:56.483,Closed,2013-09-18 11:26:43.039,Open
58bfcf510ccb2667fe27040c,2014-03-13 18:16:56.483,Closed,2013-09-20 18:06:20.929,Open
58bfcf510ccb2667fe27040c,2014-03-13 18:16:56.483,Closed,2013-09-19 13:06:59.547,Open
58bfcf510ccb2667fe27040c,2014-03-13 18:16:56.483,Closed,2013-09-20 03:57:35.100,Open
58bfcf630ccb2667fe2706d9,2014-03-13 18:17:01.660,Closed,2013-10-01 21:42:12.680,Open
58bfcf630ccb2667fe2706d9,2014-03-13 18:17:01.660,Closed,2012-12-13 17:49:16.053,Open
58bfcf630ccb2667fe2706d9,2014-03-13 18:17:01.660,Closed,2013-05-06 12:37:53.535,Open
58bfcf670ccb2667fe270784,2014-03-13 18:17:02.761,Closed,2013-09-07 20:25:27.157,Open
58bfce750ccb2667fe26f0ca,2014-03-13 18:17:05.286,Closed,2013-09-03 11:10:51.769,Open
58bfcf540ccb2667fe270491,2014-03-13 18:17:06.174,Closed,2013-09-05 07:57:37.314,Open
58bfcf540ccb2667fe270491,2014-03-13 18:17:06.174,Closed,2013-09-18 11:04:50.915,Open
58bfcf540ccb2667fe270491,2014-03-13 18:17:06.174,Closed,2013-05-17 00:20:07.996,Open
58bfcf590ccb2667fe2705a7,2014-03-13 18:16:58.836,Closed,2012-06-19 16:07:07.809,Open
58bfcf590ccb2667fe2705a7,2014-03-13 18:16:58.836,Closed,2012-09-10 18:51:30.024,Open
58bfceb60ccb2667fe26f604,2014-03-13 18:17:00.563,Closed,2012-12-08 16:34:44.446,Open
58bfcf760ccb2667fe270a32,2014-03-13 18:17:06.383,Closed,2012-12-16 20:28:53.700,Open
58bfcf580ccb2667fe27056e,2014-03-13 18:16:58.359,Closed,2011-10-27 22:24:55.995,Open
58bfcf700ccb2667fe270921,2014-03-13 18:17:04.859,Closed,2012-12-12 14:23:59.450,Open
58bfcf810ccb2667fe270b95,2014-03-13 18:17:09.096,Closed,2013-10-02 03:20:45.850,Open
58bfcf810ccb2667fe270b95,2014-03-13 18:17:09.096,Closed,2013-09-20 17:57:04.201,Open
58bfcf970ccb2667fe270e21,2014-03-13 18:17:14.047,Closed,2013-10-20 08:58:24.710,Open
58bfcf970ccb2667fe270e21,2014-03-13 18:17:14.047,Closed,2013-09-29 22:45:08.718,Open
58bfcf970ccb2667fe270e21,2014-03-13 18:17:14.047,Closed,2013-10-08 16:47:12.340,Open
58bfcf970ccb2667fe270e21,2014-03-13 18:17:14.047,Closed,2013-10-02 22:38:27.651,Open
58bfcf970ccb2667fe270e21,2014-03-13 18:17:14.047,Closed,2013-08-04 15:54:36.227,Open
58bfcf990ccb2667fe270ebd,2014-03-13 18:17:15.592,Closed,2014-01-03 09:26:56.911,Open
